catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
2,Kodak,Kodabromide,1957,0,F,Smooth,Glossy,White,Single Weight,3.5 x 5,,0,,0,0,,l|v|b,0.14,,#e3e2e2,,0.208,0.027,43.586,0.176,1.17,0_2_1_1,0.0,0.0,"[46, -19, 0]","[64, -6, 0]","[126, -8, 0]","[223, -19, 0]","[306, -22, 0]","[28.0, 59.0, 3]",0
4,Ansco,Jet,1964,0,V (Velvet),Smooth,Semi Matte,Super Wite,Double Weight,8 x 10,,0,,0,0,,v,2.44,,#ede8e4,,3.019,0.023,17.6,0.29,1.481,1_0_1_1,1.0,1.0,"[22, 28, 0]","[42, 28, 0]","[63, 28, 0]","[91, 40, 0]","[140, 47, 0]","[49.0, 29.0, 0]",1
5,Kodak,,1944,1,,,,,,10 x 10,,0,,0,0,,v|t|b,4.9,,#e6e3da,,0.255,0.011,21.714,0.162,1.31,0_1_1_0,1.0,0.0,"[20, 1, 0]","[51, 7, 0]","[90, 9, 0]","[141, 12, 0]","[203, 14, 0]","[26.0, 37.0, 0]",0
7,Kodak,Medalist,1962,0,G,Fine Grained,Luster,Cream White,Double Weight,11 x 14,,0,,0,0,,v,15.6,,#f3e9cb,,0.486,0.051,7.656,0.361,1.966,1_0_4_3,3.0,1.0,"[-23, 7, 0]","[-28, 23, 0]","[-53, 22, 0]","[-85, 34, 0]","[-121, 40, 0]","[87.0, 34.0, 0]",0
8,Kodak,Vitava Opal,1943,0,B,Smooth,Luster,Cream White,Double Weight,8 x 10,,0,,0,0,,v,6.65,,#f6f1e4,,0.249,0.031,9.751,0.359,1.717,1_0_2_2,2.0,1.0,"[3, 38, 0]","[21, 37, 0]","[18, 40, 0]","[36, 63, 0]","[46, 75, 0]","[48.0, 63.0, 0]",0
9,Delaware Photographic,Enlarging Paper,1940,1,,,Semi Matte,,Single Weight,8 x 10,,0,,0,0,,v,4.98,,#eae9df,,0.14,0.021,7.243,0.175,1.427,0_0_1_1,1.0,0.0,"[17, 3, 0]","[37, 12, 0]","[67, 15, 0]","[106, 18, 0]","[154, 21, 0]","[48.0, 17.0, 0]",0
10,Kodak,Vitava Athena,1943,0,C,Smooth,Matte,Cream White,Double Weight,8 x 10,,0,,0,0,,v,9.29,,#f5efdd,,0.219,0.03,4.48,0.349,1.78,1_0_2_2,2.0,1.0,"[9, 31, 0]","[13, 40, 0]","[24, 50, 0]","[29, 59, 0]","[43, 71, 0]","[54.0, 32.0, 1]",0
11,Kodak,Vitava Projection,1944,0,Y,Silk,Luster,Cream White,Double Weight,8 x 10,,0,,0,0,,v,9.12,,#f5eddc,,0.28,0.107,9.256,0.367,1.986,1_0_2_5,3.0,1.0,"[-7, 27, 0]","[-17, 37, 0]","[-32, 50, 0]","[-49, 63, 0]","[-70, 76, 0]","[78.0, 91.0, 0]",0
12,Agfa Ansco,Indiatone,1943,0,,,,Porcelain White,Double Weight,8 x 10,,0,,0,0,,v,,,,,,,,0.328,,,,1.0,"[755, 575, 0]","[728, 553, 0]","[780, 554, 0]","[503, 722, 0]","[683, 590, 0]","[555, 679, 0]",1
13,Kodak,Velox,1944,0,F,Smooth,Glossy,White,Single Weight,8 x 10,K04,0,,0,0,,l|b|v,1.75,,#ece6e4,,0.179,,41.162,0.185,,,,0.0,"[505, 570, 0]","[669, 601, 0]","[765, 680, 0]","[678, 531, 0]","[733, 743, 0]","[514, 536, 0]",0
